Reaction,MinFlux,MaxFlux
AD_FPGSm,0,1.48462092965929e-05
AD_FRDPtr,0,8.80864702897573e-06
AD_FRUt1r,-1000,-918.602824218815
AD_FTHFDH,0,0.000311838670006211
AD_FTHFLm,0,1.03195968717496e-05
AD_FUCGALGBSIDEte,0,8.8171568203658e-06
AD_FUCGALGBSIDEtg,-8.8171568203658e-06,0
AD_FUMAC,0,7.4306574106231e-05
AD_FUMm,-594.199205268683,1000
AD_FUMSO3tm,-1000,1000
AD_FUMSO4tm,-1000,1000
AD_FUMtm,-1000,1000
AD_FUMTSULtm,-1000,1000
AD_FUT11g,0,8.8171568203658e-06
AD_G14T18g,0,1.81099470792785e-06
AD_G14T19g,0,1.81099470792785e-06
AD_G14T20g,0,1.81099470792785e-06
AD_G14T21g,0,1.81099470792785e-06
AD_G14T2g,0,1.96334439890338e-06
AD_G14T3g,0,1.96334439890338e-06
AD_G14T4g,0,1.96334439890338e-06
AD_G14T5g,0,1.96334439890338e-06
AD_G5SADrm,0,0.000909341050714829
AD_G6PDH1rer,-0.000617461958427157,1000
AD_G6PDH2rer,-1000,0.000617461958427157
AD_G6PPer,0,1.561189673982e-05
AD_GACMTRc,0,5.14222845637846e-05
AD_GACPAILter,0,1.98928103833929e-05
AD_GAL3ST11,0,2.29539964898273e-05
AD_GALASE16ly,0,1.96334439890338e-06
AD_GALASE17ly,0,1.96220981956773e-06
AD_GALASE18ly,0,1.96193652749137e-06
AD_GALASE19ly,0,1.96193652749137e-06
AD_GALASE20ly,0,1.81099470792785e-06
AD_GALGLUSIDEtg,0,9.79002197709633e-06
AD_GALGLUSIDEtl,-1.88673516465865e-05,0
AD_GALGT1,0,9.33311430039461e-06
AD_GALNACT1g,0,2.82435801776528e-06
AD_GALNACT2g,0,2.82436114231954e-06
AD_GALNACT3g,0,2.84035349874433e-06
AD_GALNACT4g,0,2.27606244607159e-06
AD_GALNACT5g,0,2.0697580301506e-06
AD_GALNTg,0,1.96193652749137e-06
AD_GALOR,0,0.000257030891361865
AD_GALSIDEtg,0,3.18138512511723e-05
AD_GALSIDEtl,-3.19050797088494e-05,2.98417452313515e-05
AD_GALt1r,0,3.22493438034144e-05
AD_GALT2g,0,2.82436109066235e-06
AD_GALTg,0,2.82436109066235e-06
AD_GALtly,0,3.22493439171012e-05
AD_GARFT,0,8.06899297085635e-06
AD_GBGT1,0,9.73266337321268e-06
AD_GBSIDEtl,-9.73266337321268e-06,0
AD_GCALDDm,0,7.62878556934167e-05
AD_GCC2cm,0,0.00015822658383513
AD_GD1Cte,0,1.89485263144273e-05
AD_GDPFUCtg,0,8.8171568203658e-06
AD_GDPtg,-8.8171568203658e-06,0
AD_GFUCS,0,8.83822661181562e-06
AD_GGH_10FTHF5GLUl,0,1.98056855822415e-05
AD_GGH_10FTHF6GLUl,0,1.98056855822415e-05
AD_GGH_10FTHF7GLUl,0,1.98056855874013e-05
